종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"033530","SJG세종","KOSPI",,"4080","40","0.99","4190","4190","4080","39549","162755960","113509520880","27820961"
"123700","SJM","KOSPI",,"2980","-50","-1.65","3030","3030","2950","69754","208181175","46502596040","15604898"
"025530","SJM홀딩스","KOSPI",,"3365","-5","-0.15","3400","3400","3345","7326","24656295","50252936920","14934008"
"034730","SK","KOSPI",,"140200","-1900","-1.34","141200","142500","139900","106801","15041890500","10164878960600","72502703"
"011790","SKC","KOSPI",,"108700","-1900","-1.72","113000","113800","104700","649829","70559509800","4116283992600","37868298"
"018670","SK가스","KOSPI",,"208500","0","0.00","208500","212500","205500","7438","1562797500","1924505874000","9230244"
"001740","SK네트웍스","KOSPI",,"4325","0","0.00","4335","4390","4290","450061","1952860825","957026926150","221277902"
"006120","SK디스커버리","KOSPI",,"39400","150","0.38","38800","39400","38800","11301","440978050","740162687000","18785855"
"006125","SK디스커버리우","KOSPI",,"32200","0","0.00","32450","32450","32000","2226","71742900","43742251000","1358455"
"210980","SK디앤디","KOSPI",,"7630","-30","-0.39","7660","7730","7590","31775","242893870","142050624660","18617382"
"395400","SK리츠","KOSPI",,"4470","-85","-1.87","4565","4580","4415","628836","2797793705","1219366204200","272788860"
"302440","SK바이오사이언스","KOSPI",,"53200","-2400","-4.32","55300","55300","53200","101842","5482417100","4168075987600","78347293"
"326030","SK바이오팜","KOSPI",,"105200","-100","-0.09","105300","107100","103700","174706","18416453700","8238553900000","78313250"
"402340","SK스퀘어","KOSPI",,"86800","500","0.58","87300","88800","85700","285570","24864481100","11696296528000","134749960"
"260870","SK시그넷","KONEX","일반기업부","14650","-1220","-7.69","15920","15920","14600","5363","82437950","89914521500","6137510"
"361610","SK아이이테크놀로지","KOSPI",,"23800","-1000","-4.03","25000","25000","23750","200979","4831558750","1696882689600","71297592"
"100090","SK오션플랜트","KOSPI",,"12750","80","0.63","12590","13000","12440","158799","2024470480","754743492000","59195568"
"03473K","SK우","KOSPI",,"117100","200","0.17","116900","118800","116200","3705","434782600","66294408500","566135"
"096770","SK이노베이션","KOSPI",,"119200","-2200","-1.81","121600","122100","116900","348312","41441472200","18003345299200","151034776"
"096775","SK이노베이션우","KOSPI",,"77500","-1200","-1.52","78700","79500","76800","2313","179100600","96753015000","1248426"
"475150","SK이터닉스","KOSPI",,"13350","-230","-1.69","13580","13580","13250","167823","2249045680","449786798250","33691895"
"001510","SK증권","KOSPI",,"489","-1","-0.20","488","489","485","528109","257110045","231096593619","472590171"
"001515","SK증권우","KOSPI",,"1783","-4","-0.22","1794","1797","1735","3967","7034488","6976012462","3912514"
"285130","SK케미칼","KOSPI",,"46000","1100","2.45","45400","46250","44200","22804","1040528250","793674018000","17253783"
"28513K","SK케미칼우","KOSPI",,"20350","200","0.99","20450","20800","20100","3783","77144750","43048980150","2115429"
"017670","SK텔레콤","KOSPI",,"57000","-600","-1.04","57600","58100","56500","621080","35636897800","12243033021000","214790053"
"000660","SK하이닉스","KOSPI",,"184000","4700","2.62","183000","184500","182100","3171702","582929721188","133952435160000","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1587","-1","-0.06","1573","1600","1573","95197","150915911","153486101940","96714620"
"063440","SM Life Design","KOSDAQ","중견기업부","1335","-9","-0.67","1326","1355","1321","52485","70043285","61448920590","46029154"
"003570","SNT다이내믹스","KOSPI",,"18630","50","0.27","18880","18880","18420","56778","1061878040","619497745110","33252697"
"064960","SNT모티브","KOSPI",,"41050","450","1.11","40500","41100","40200","19394","791195950","600279732800","14623136"
"100840","SNT에너지","KOSPI",,"19190","1450","8.17","17740","19500","17570","547509","10384522930","396864225770","20680783"
"036530","SNT홀딩스","KOSPI",,"22750","100","0.44","22650","22750","22450","8940","201827250","370913406500","16303886"
"067160","SOOP","KOSDAQ GLOBAL","우량기업부","99800","1600","1.63","98200","100800","97200","65414","6483524500","1147177746600","11494767"
"005610","SPC삼립","KOSPI",,"48800","200","0.41","48650","49150","48150","5201","254283400","421095639200","8629009"
"011810","STX","KOSPI",,"4550","25","0.55","4530","4565","4400","84587","380027360","141131567850","31017927"
"465770","STX그린로지스","KOSPI",,"8380","10","0.12","8430","8430","8260","27438","228563500","60093248160","7171032"
"077970","STX엔진","KOSPI",,"19820","-380","-1.88","20500","20500","19690","144827","2884778320","456036477280","23008904"
